province;red;green;blue;x;x
63;200;1;187;ZERZERSIXTWO;x
64;232;1;190;ZERZERSIXTHR;x
65;33;4;1;ZERONEZERZER;x
66;65;4;4;ZERONEZERONE;x
67;97;4;7;ZERONEZERTWO;x
68;129;4;10;ZERONEZERTHR;x
69;161;4;13;ZERONEZERFO;x
70;193;4;16;ZERONEZERFIV;x
71;225;4;19;ZERONEZERSIX;x
72;2;4;22;ZERONEZERSEV;x
73;34;4;25;ZERONEZEREIG;x
74;66;4;28;ZERONEZERNIN;x
75;98;4;31;ZERONEONEZER;x
76;130;4;34;ZERONEONEONE;x
77;162;4;37;ZERONEONETWO;x
78;194;4;40;ZERONEONETHR;x
79;226;4;43;ZERONEONEFO;x
80;3;4;46;ZERONEONEFIV;x
81;35;4;49;ZERONEONESIX;x
82;67;4;52;ZERONEONESEV;x
83;99;4;55;ZERONEONEEIG;x
84;131;4;58;ZERONEONENIN;x
85;163;4;61;ZERONETWOZER;x
86;195;4;64;ZERONETWOONE;x
87;227;4;67;ZERONETWOTWO;x
88;4;4;70;ZERONETWOTHR;x
89;36;4;73;ZERONETWOFO;x
90;68;4;76;ZERONETWOFIV;x
91;100;4;79;ZERONETWOSIX;x
92;132;4;82;ZERONETWOSEV;x
93;164;4;85;ZERONETWOEIG;x
94;196;4;88;ZERONETWONIN;x
95;228;4;91;ZERONETHRZER;x
96;5;4;94;ZERONETHRONE;x
97;37;4;97;ZERONETHRTWO;x
98;69;4;100;ZERONETHRTHR;x
99;101;4;103;ZERONETHRFO;x
100;133;4;106;ZERONETHRFIV;x
101;165;4;109;ZERONETHRSIX;x
102;197;4;112;ZERONETHRSEV;x
103;229;4;115;ZERONETHREIG;x
104;6;4;118;ZERONETHRNIN;x
105;38;4;121;ZERONEFOZER;x
106;70;4;124;ZERONEFOONE;x
107;102;4;127;ZERONEFOTWO;x
108;134;4;130;ZERONEFOTHR;x
109;166;4;133;ZERONEFOFO;x
110;198;4;136;ZERONEFOFIV;x
111;230;4;139;ZERONEFOSIX;x
112;7;4;142;ZERONEFOSEV;x
113;39;4;145;ZERONEFOEIG;x
114;71;4;148;ZERONEFONIN;x
115;103;4;151;ZERONEFIVZER;x
116;135;4;154;ZERONEFIVONE;x
117;167;4;157;ZERONEFIVTWO;x
118;199;4;160;ZERONEFIVTHR;x
119;231;4;163;ZERONEFIVFO;x
120;8;4;166;ZERONEFIVFIV;x
121;40;4;169;ZERONEFIVSIX;x
122;72;4;172;ZERONEFIVSEV;x
123;104;4;175;ZERONEFIVEIG;x
124;136;4;178;ZERONEFIVNIN;x
125;168;4;181;ZERONESIXZER;x
126;200;4;184;ZERONESIXONE;x
127;232;4;187;ZERONESIXTWO;x
128;9;4;190;ZERONESIXTHR;x
129;65;7;1;ZERTWOZERZER;x
130;97;7;4;ZERTWOZERONE;x
131;129;7;7;ZERTWOZERTWO;x
132;161;7;10;ZERTWOZERTHR;x
133;193;7;13;ZERTWOZERFO;x
134;225;7;16;ZERTWOZERFIV;x
135;2;7;19;ZERTWOZERSIX;x
136;34;7;22;ZERTWOZERSEV;x
137;66;7;25;ZERTWOZEREIG;x
138;98;7;28;ZERTWOZERNIN;x
139;130;7;31;ZERTWOONEZER;x
140;162;7;34;ZERTWOONEONE;x
141;194;7;37;ZERTWOONETWO;x
142;226;7;40;ZERTWOONETHR;x
143;3;7;43;ZERTWOONEFO;x
144;35;7;46;ZERTWOONEFIV;x
145;67;7;49;ZERTWOONESIX;x
146;99;7;52;ZERTWOONESEV;x
147;131;7;55;ZERTWOONEEIG;x
148;163;7;58;ZERTWOONENIN;x
149;195;7;61;ZERTWOTWOZER;x
150;227;7;64;ZERTWOTWOONE;x
151;4;7;67;ZERTWOTWOTWO;x
152;36;7;70;ZERTWOTWOTHR;x
153;68;7;73;ZERTWOTWOFO;x
154;100;7;76;ZERTWOTWOFIV;x
155;132;7;79;ZERTWOTWOSIX;x
156;164;7;82;ZERTWOTWOSEV;x
157;196;7;85;ZERTWOTWOEIG;x
158;228;7;88;ZERTWOTWONIN;x
159;5;7;91;ZERTWOTHRZER;x
160;37;7;94;ZERTWOTHRONE;x
161;69;7;97;ZERTWOTHRTWO;x
162;101;7;100;ZERTWOTHRTHR;x
163;133;7;103;ZERTWOTHRFO;x
164;165;7;106;ZERTWOTHRFIV;x
165;197;7;109;ZERTWOTHRSIX;x
166;229;7;112;ZERTWOTHRSEV;x
167;6;7;115;ZERTWOTHREIG;x
168;38;7;118;ZERTWOTHRNIN;x
169;70;7;121;ZERTWOFOZER;x
170;102;7;124;ZERTWOFOONE;x
171;134;7;127;ZERTWOFOTWO;x
172;166;7;130;ZERTWOFOTHR;x
173;198;7;133;ZERTWOFOFO;x
174;230;7;136;ZERTWOFOFIV;x
175;7;7;139;ZERTWOFOSIX;x
176;39;7;142;ZERTWOFOSEV;x
177;71;7;145;ZERTWOFOEIG;x
178;103;7;148;ZERTWOFONIN;x
179;135;7;151;ZERTWOFIVZER;x
180;167;7;154;ZERTWOFIVONE;x
181;199;7;157;ZERTWOFIVTWO;x
182;231;7;160;ZERTWOFIVTHR;x
183;8;7;163;ZERTWOFIVFO;x
184;40;7;166;ZERTWOFIVFIV;x
185;72;7;169;ZERTWOFIVSIX;x
186;104;7;172;ZERTWOFIVSEV;x
187;136;7;175;ZERTWOFIVEIG;x
188;168;7;178;ZERTWOFIVNIN;x
189;200;7;181;ZERTWOSIXZER;x
190;232;7;184;ZERTWOSIXONE;x
191;9;7;187;ZERTWOSIXTWO;x
192;41;7;190;ZERTWOSIXTHR;x
193;97;10;1;ZERTHRZERZER;x
194;129;10;4;ZERTHRZERONE;x
195;161;10;7;ZERTHRZERTWO;x
196;193;10;10;ZERTHRZERTHR;x
197;225;10;13;ZERTHRZERFO;x
198;2;10;16;ZERTHRZERFIV;x
199;34;10;19;ZERTHRZERSIX;x
200;66;10;22;ZERTHRZERSEV;x
201;98;10;25;ZERTHRZEREIG;x
202;130;10;28;ZERTHRZERNIN;x
203;162;10;31;ZERTHRONEZER;x
204;194;10;34;ZERTHRONEONE;x
205;226;10;37;ZERTHRONETWO;x
206;3;10;40;ZERTHRONETHR;x
207;35;10;43;ZERTHRONEFO;x
208;67;10;46;ZERTHRONEFIV;x
209;99;10;49;ZERTHRONESIX;x
210;131;10;52;ZERTHRONESEV;x
211;163;10;55;ZERTHRONEEIG;x
212;195;10;58;ZERTHRONENIN;x
213;227;10;61;ZERTHRTWOZER;x
214;4;10;64;ZERTHRTWOONE;x
215;36;10;67;ZERTHRTWOTWO;x
216;68;10;70;ZERTHRTWOTHR;x
217;100;10;73;ZERTHRTWOFO;x
218;132;10;76;ZERTHRTWOFIV;x
219;164;10;79;ZERTHRTWOSIX;x
220;196;10;82;ZERTHRTWOSEV;x
221;228;10;85;ZERTHRTWOEIG;x
222;5;10;88;ZERTHRTWONIN;x
223;37;10;91;ZERTHRTHRZER;x
224;69;10;94;ZERTHRTHRONE;x
225;101;10;97;ZERTHRTHRTWO;x
226;133;10;100;ZERTHRTHRTHR;x
227;165;10;103;ZERTHRTHRFO;x
228;197;10;106;ZERTHRTHRFIV;x
229;229;10;109;ZERTHRTHRSIX;x
230;6;10;112;ZERTHRTHRSEV;x
231;38;10;115;ZERTHRTHREIG;x
232;70;10;118;ZERTHRTHRNIN;x
233;102;10;121;ZERTHRFOZER;x
234;134;10;124;ZERTHRFOONE;x
235;166;10;127;ZERTHRFOTWO;x
236;198;10;130;ZERTHRFOTHR;x
237;230;10;133;ZERTHRFOFO;x
238;7;10;136;ZERTHRFOFIV;x
239;39;10;139;ZERTHRFOSIX;x
240;71;10;142;ZERTHRFOSEV;x
241;103;10;145;ZERTHRFOEIG;x
242;135;10;148;ZERTHRFONIN;x
243;167;10;151;ZERTHRFIVZER;x
244;199;10;154;ZERTHRFIVONE;x
245;231;10;157;ZERTHRFIVTWO;x
246;8;10;160;ZERTHRFIVTHR;x
247;40;10;163;ZERTHRFIVFO;x
248;72;10;166;ZERTHRFIVFIV;x
249;104;10;169;ZERTHRFIVSIX;x
250;136;10;172;ZERTHRFIVSEV;x
251;168;10;175;ZERTHRFIVEIG;x
252;200;10;178;ZERTHRFIVNIN;x
253;232;10;181;ZERTHRSIXZER;x
254;9;10;184;ZERTHRSIXONE;x
255;41;10;187;ZERTHRSIXTWO;x
256;73;10;190;ZERTHRSIXTHR;x
257;129;13;1;ZERFOZERZER;x
258;161;13;4;ZERFOZERONE;x
259;193;13;7;ZERFOZERTWO;x
260;225;13;10;ZERFOZERTHR;x
261;2;13;13;ZERFOZERFO;x
262;34;13;16;ZERFOZERFIV;x
263;66;13;19;ZERFOZERSIX;x
264;98;13;22;ZERFOZERSEV;x
265;130;13;25;ZERFOZEREIG;x
266;162;13;28;ZERFOZERNIN;x
267;194;13;31;ZERFOONEZER;x
268;226;13;34;ZERFOONEONE;x
269;3;13;37;ZERFOONETWO;x
270;35;13;40;ZERFOONETHR;x
271;67;13;43;ZERFOONEFO;x
272;99;13;46;ZERFOONEFIV;x
273;131;13;49;ZERFOONESIX;x
274;163;13;52;ZERFOONESEV;x
275;195;13;55;ZERFOONEEIG;x
276;227;13;58;ZERFOONENIN;x
277;4;13;61;ZERFOTWOZER;x
278;36;13;64;ZERFOTWOONE;x
279;68;13;67;ZERFOTWOTWO;x
280;100;13;70;ZERFOTWOTHR;x
281;132;13;73;ZERFOTWOFO;x
282;164;13;76;ZERFOTWOFIV;x
283;196;13;79;ZERFOTWOSIX;x
284;228;13;82;ZERFOTWOSEV;x
285;5;13;85;ZERFOTWOEIG;x
286;37;13;88;ZERFOTWONIN;x
287;69;13;91;ZERFOTHRZER;x
288;101;13;94;ZERFOTHRONE;x
289;133;13;97;ZERFOTHRTWO;x
290;165;13;100;ZERFOTHRTHR;x
291;197;13;103;ZERFOTHRFO;x
292;229;13;106;ZERFOTHRFIV;x
293;6;13;109;ZERFOTHRSIX;x
294;38;13;112;ZERFOTHRSEV;x
295;70;13;115;ZERFOTHREIG;x
296;102;13;118;ZERFOTHRNIN;x
297;134;13;121;ZERFOFOZER;x
298;166;13;124;ZERFOFOONE;x
299;198;13;127;ZERFOFOTWO;x
300;230;13;130;ZERFOFOTHR;x
301;7;13;133;ZERFOFOFO;x
302;39;13;136;ZERFOFOFIV;x
303;71;13;139;ZERFOFOSIX;x
304;103;13;142;ZERFOFOSEV;x
305;135;13;145;ZERFOFOEIG;x
306;167;13;148;ZERFOFONIN;x
307;199;13;151;ZERFOFIVZER;x
308;231;13;154;ZERFOFIVONE;x
309;8;13;157;ZERFOFIVTWO;x
310;40;13;160;ZERFOFIVTHR;x
311;72;13;163;ZERFOFIVFO;x
312;104;13;166;ZERFOFIVFIV;x
313;136;13;169;ZERFOFIVSIX;x
314;168;13;172;ZERFOFIVSEV;x
315;200;13;175;ZERFOFIVEIG;x
316;232;13;178;ZERFOFIVNIN;x
317;9;13;181;ZERFOSIXZER;x
318;41;13;184;ZERFOSIXONE;x
319;73;13;187;ZERFOSIXTWO;x
320;105;13;190;ZERFOSIXTHR;x
321;161;16;1;ZERFIVZERZER;x
322;193;16;4;ZERFIVZERONE;x
323;225;16;7;ZERFIVZERTWO;x
324;2;16;10;ZERFIVZERTHR;x
325;34;16;13;ZERFIVZERFO;x
326;66;16;16;ZERFIVZERFIV;x
327;98;16;19;ZERFIVZERSIX;x
328;130;16;22;ZERFIVZERSEV;x
329;162;16;25;ZERFIVZEREIG;x
330;194;16;28;ZERFIVZERNIN;x
331;226;16;31;ZERFIVONEZER;x
332;3;16;34;ZERFIVONEONE;x
333;35;16;37;ZERFIVONETWO;x
334;67;16;40;ZERFIVONETHR;x
335;99;16;43;ZERFIVONEFO;x
336;131;16;46;ZERFIVONEFIV;x
337;163;16;49;ZERFIVONESIX;x
338;195;16;52;ZERFIVONESEV;x
339;227;16;55;ZERFIVONEEIG;x
340;4;16;58;ZERFIVONENIN;x
341;36;16;61;ZERFIVTWOZER;x
342;68;16;64;ZERFIVTWOONE;x
343;100;16;67;ZERFIVTWOTWO;x
344;132;16;70;ZERFIVTWOTHR;x
345;164;16;73;ZERFIVTWOFO;x
346;196;16;76;ZERFIVTWOFIV;x
347;228;16;79;ZERFIVTWOSIX;x
348;5;16;82;ZERFIVTWOSEV;x
349;37;16;85;ZERFIVTWOEIG;x
350;69;16;88;ZERFIVTWONIN;x
351;101;16;91;ZERFIVTHRZER;x
352;133;16;94;ZERFIVTHRONE;x
353;165;16;97;ZERFIVTHRTWO;x
354;197;16;100;ZERFIVTHRTHR;x
355;229;16;103;ZERFIVTHRFO;x
356;6;16;106;ZERFIVTHRFIV;x
357;38;16;109;ZERFIVTHRSIX;x
358;70;16;112;ZERFIVTHRSEV;x
359;102;16;115;ZERFIVTHREIG;x
360;134;16;118;ZERFIVTHRNIN;x
361;166;16;121;ZERFIVFOZER;x
362;198;16;124;ZERFIVFOONE;x
363;230;16;127;ZERFIVFOTWO;x
364;7;16;130;ZERFIVFOTHR;x
365;39;16;133;ZERFIVFOFO;x
366;71;16;136;ZERFIVFOFIV;x
367;103;16;139;ZERFIVFOSIX;x
368;135;16;142;ZERFIVFOSEV;x
369;167;16;145;ZERFIVFOEIG;x
370;199;16;148;ZERFIVFONIN;x
371;231;16;151;ZERFIVFIVZER;x
372;8;16;154;ZERFIVFIVONE;x
373;40;16;157;ZERFIVFIVTWO;x
374;72;16;160;ZERFIVFIVTHR;x
375;104;16;163;ZERFIVFIVFO;x
376;136;16;166;ZERFIVFIVFIV;x
377;168;16;169;ZERFIVFIVSIX;x
378;200;16;172;ZERFIVFIVSEV;x
379;232;16;175;ZERFIVFIVEIG;x
380;9;16;178;ZERFIVFIVNIN;x
381;41;16;181;ZERFIVSIXZER;x
382;73;16;184;ZERFIVSIXONE;x
383;105;16;187;ZERFIVSIXTWO;x
384;137;16;190;ZERFIVSIXTHR;x
385;193;19;1;ZERSIXZERZER;x
386;225;19;4;ZERSIXZERONE;x
387;2;19;7;ZERSIXZERTWO;x
388;34;19;10;ZERSIXZERTHR;x
389;66;19;13;ZERSIXZERFO;x
390;98;19;16;ZERSIXZERFIV;x
391;130;19;19;ZERSIXZERSIX;x
392;162;19;22;ZERSIXZERSEV;x
393;194;19;25;ZERSIXZEREIG;x
394;226;19;28;ZERSIXZERNIN;x
395;3;19;31;ZERSIXONEZER;x
396;35;19;34;ZERSIXONEONE;x
397;67;19;37;ZERSIXONETWO;x
398;99;19;40;ZERSIXONETHR;x
399;131;19;43;ZERSIXONEFO;x
400;163;19;46;ZERSIXONEFIV;x
401;195;19;49;ZERSIXONESIX;x
402;227;19;52;ZERSIXONESEV;x
403;4;19;55;ZERSIXONEEIG;x
404;36;19;58;ZERSIXONENIN;x
405;68;19;61;ZERSIXTWOZER;x
406;100;19;64;ZERSIXTWOONE;x
407;132;19;67;ZERSIXTWOTWO;x
408;164;19;70;ZERSIXTWOTHR;x
409;196;19;73;ZERSIXTWOFO;x
410;228;19;76;ZERSIXTWOFIV;x
411;5;19;79;ZERSIXTWOSIX;x
412;37;19;82;ZERSIXTWOSEV;x
413;69;19;85;ZERSIXTWOEIG;x
414;101;19;88;ZERSIXTWONIN;x
415;133;19;91;ZERSIXTHRZER;x
416;165;19;94;ZERSIXTHRONE;x
417;197;19;97;ZERSIXTHRTWO;x
418;229;19;100;ZERSIXTHRTHR;x
419;6;19;103;ZERSIXTHRFO;x
420;38;19;106;ZERSIXTHRFIV;x
421;70;19;109;ZERSIXTHRSIX;x
422;102;19;112;ZERSIXTHRSEV;x
423;134;19;115;ZERSIXTHREIG;x
424;166;19;118;ZERSIXTHRNIN;x
425;198;19;121;ZERSIXFOZER;x
426;230;19;124;ZERSIXFOONE;x
427;7;19;127;ZERSIXFOTWO;x
428;39;19;130;ZERSIXFOTHR;x
429;71;19;133;ZERSIXFOFO;x
430;103;19;136;ZERSIXFOFIV;x
431;135;19;139;ZERSIXFOSIX;x
432;167;19;142;ZERSIXFOSEV;x
433;199;19;145;ZERSIXFOEIG;x
434;231;19;148;ZERSIXFONIN;x
435;8;19;151;ZERSIXFIVZER;x
436;40;19;154;ZERSIXFIVONE;x
437;72;19;157;ZERSIXFIVTWO;x
438;104;19;160;ZERSIXFIVTHR;x
439;136;19;163;ZERSIXFIVFO;x
440;168;19;166;ZERSIXFIVFIV;x
441;200;19;169;ZERSIXFIVSIX;x
442;232;19;172;ZERSIXFIVSEV;x
443;9;19;175;ZERSIXFIVEIG;x
444;41;19;178;ZERSIXFIVNIN;x
445;73;19;181;ZERSIXSIXZER;x
446;105;19;184;ZERSIXSIXONE;x
447;137;19;187;ZERSIXSIXTWO;x
448;169;19;190;ZERSIXSIXTHR;x
449;225;22;1;ZERSEVZERZER;x
450;2;22;4;ZERSEVZERONE;x
451;34;22;7;ZERSEVZERTWO;x
452;66;22;10;ZERSEVZERTHR;x
453;98;22;13;ZERSEVZERFO;x
454;130;22;16;ZERSEVZERFIV;x
455;162;22;19;ZERSEVZERSIX;x
456;194;22;22;ZERSEVZERSEV;x
457;226;22;25;ZERSEVZEREIG;x
458;3;22;28;ZERSEVZERNIN;x
459;35;22;31;ZERSEVONEZER;x
460;67;22;34;ZERSEVONEONE;x
461;99;22;37;ZERSEVONETWO;x
462;131;22;40;ZERSEVONETHR;x
463;163;22;43;ZERSEVONEFO;x
464;195;22;46;ZERSEVONEFIV;x
465;227;22;49;ZERSEVONESIX;x
466;4;22;52;ZERSEVONESEV;x
467;36;22;55;ZERSEVONEEIG;x
468;68;22;58;ZERSEVONENIN;x
469;100;22;61;ZERSEVTWOZER;x
470;132;22;64;ZERSEVTWOONE;x
471;164;22;67;ZERSEVTWOTWO;x
472;196;22;70;ZERSEVTWOTHR;x
473;228;22;73;ZERSEVTWOFO;x
474;5;22;76;ZERSEVTWOFIV;x
475;37;22;79;ZERSEVTWOSIX;x
476;69;22;82;ZERSEVTWOSEV;x
477;101;22;85;ZERSEVTWOEIG;x
478;133;22;88;ZERSEVTWONIN;x
479;165;22;91;ZERSEVTHRZER;x
480;197;22;94;ZERSEVTHRONE;x
481;229;22;97;ZERSEVTHRTWO;x
482;6;22;100;ZERSEVTHRTHR;x
483;38;22;103;ZERSEVTHRFO;x
484;70;22;106;ZERSEVTHRFIV;x
485;102;22;109;ZERSEVTHRSIX;x
486;134;22;112;ZERSEVTHRSEV;x
487;166;22;115;ZERSEVTHREIG;x
488;198;22;118;ZERSEVTHRNIN;x
489;230;22;121;ZERSEVFOZER;x
490;7;22;124;ZERSEVFOONE;x
491;39;22;127;ZERSEVFOTWO;x
492;71;22;130;ZERSEVFOTHR;x
493;103;22;133;ZERSEVFOFO;x
494;135;22;136;ZERSEVFOFIV;x
495;167;22;139;ZERSEVFOSIX;x
496;199;22;142;ZERSEVFOSEV;x
497;231;22;145;ZERSEVFOEIG;x
498;8;22;148;ZERSEVFONIN;x
499;40;22;151;ZERSEVFIVZER;x
500;72;22;154;ZERSEVFIVONE;x
501;104;22;157;ZERSEVFIVTWO;x
502;136;22;160;ZERSEVFIVTHR;x
503;168;22;163;ZERSEVFIVFO;x
504;200;22;166;ZERSEVFIVFIV;x
505;232;22;169;ZERSEVFIVSIX;x
506;9;22;172;ZERSEVFIVSEV;x
507;41;22;175;ZERSEVFIVEIG;x
508;73;22;178;ZERSEVFIVNIN;x
509;105;22;181;ZERSEVSIXZER;x
510;137;22;184;ZERSEVSIXONE;x
511;169;22;187;ZERSEVSIXTWO;x
512;201;22;190;ZERSEVSIXTHR;x
513;2;25;1;ZEREIGZERZER;x
514;34;25;4;ZEREIGZERONE;x
515;66;25;7;ZEREIGZERTWO;x
516;98;25;10;ZEREIGZERTHR;x
517;130;25;13;ZEREIGZERFO;x
518;162;25;16;ZEREIGZERFIV;x
519;194;25;19;ZEREIGZERSIX;x
520;226;25;22;ZEREIGZERSEV;x
521;3;25;25;ZEREIGZEREIG;x
522;35;25;28;ZEREIGZERNIN;x
523;67;25;31;ZEREIGONEZER;x
524;99;25;34;ZEREIGONEONE;x
525;131;25;37;ZEREIGONETWO;x
526;163;25;40;ZEREIGONETHR;x
527;195;25;43;ZEREIGONEFO;x
528;227;25;46;ZEREIGONEFIV;x
529;4;25;49;ZEREIGONESIX;x
530;36;25;52;ZEREIGONESEV;x
531;68;25;55;ZEREIGONEEIG;x
532;100;25;58;ZEREIGONENIN;x
533;132;25;61;ZEREIGTWOZER;x
534;164;25;64;ZEREIGTWOONE;x
535;196;25;67;ZEREIGTWOTWO;x
536;228;25;70;ZEREIGTWOTHR;x
537;5;25;73;ZEREIGTWOFO;x
538;37;25;76;ZEREIGTWOFIV;x
539;69;25;79;ZEREIGTWOSIX;x
540;101;25;82;ZEREIGTWOSEV;x
541;133;25;85;ZEREIGTWOEIG;x
542;165;25;88;ZEREIGTWONIN;x
543;197;25;91;ZEREIGTHRZER;x
544;229;25;94;ZEREIGTHRONE;x
545;6;25;97;ZEREIGTHRTWO;x
546;38;25;100;ZEREIGTHRTHR;x
547;70;25;103;ZEREIGTHRFO;x
548;102;25;106;ZEREIGTHRFIV;x
549;134;25;109;ZEREIGTHRSIX;x
550;166;25;112;ZEREIGTHRSEV;x
551;198;25;115;ZEREIGTHREIG;x
552;230;25;118;ZEREIGTHRNIN;x
553;7;25;121;ZEREIGFOZER;x
554;39;25;124;ZEREIGFOONE;x
555;71;25;127;ZEREIGFOTWO;x
556;103;25;130;ZEREIGFOTHR;x
557;135;25;133;ZEREIGFOFO;x
558;167;25;136;ZEREIGFOFIV;x
559;199;25;139;ZEREIGFOSIX;x
560;231;25;142;ZEREIGFOSEV;x
561;8;25;145;ZEREIGFOEIG;x
562;40;25;148;ZEREIGFONIN;x
563;72;25;151;ZEREIGFIVZER;x
564;104;25;154;ZEREIGFIVONE;x
565;136;25;157;ZEREIGFIVTWO;x
566;168;25;160;ZEREIGFIVTHR;x
567;200;25;163;ZEREIGFIVFO;x
568;232;25;166;ZEREIGFIVFIV;x
569;9;25;169;ZEREIGFIVSIX;x
570;41;25;172;ZEREIGFIVSEV;x
571;73;25;175;ZEREIGFIVEIG;x
572;105;25;178;ZEREIGFIVNIN;x
573;137;25;181;ZEREIGSIXZER;x
574;169;25;184;ZEREIGSIXONE;x
575;201;25;187;ZEREIGSIXTWO;x
576;233;25;190;ZEREIGSIXTHR;x
577;34;28;1;ZERNINZERZER;x
578;66;28;4;ZERNINZERONE;x
579;98;28;7;ZERNINZERTWO;x
580;130;28;10;ZERNINZERTHR;x
581;162;28;13;ZERNINZERFO;x
582;194;28;16;ZERNINZERFIV;x
583;226;28;19;ZERNINZERSIX;x
584;3;28;22;ZERNINZERSEV;x
585;35;28;25;ZERNINZEREIG;x
586;67;28;28;ZERNINZERNIN;x
587;99;28;31;ZERNINONEZER;x
588;131;28;34;ZERNINONEONE;x
589;163;28;37;ZERNINONETWO;x
590;195;28;40;ZERNINONETHR;x
591;227;28;43;ZERNINONEFO;x
592;4;28;46;ZERNINONEFIV;x
593;36;28;49;ZERNINONESIX;x
594;68;28;52;ZERNINONESEV;x
595;100;28;55;ZERNINONEEIG;x
596;132;28;58;ZERNINONENIN;x
597;164;28;61;ZERNINTWOZER;x
598;196;28;64;ZERNINTWOONE;x
599;228;28;67;ZERNINTWOTWO;x
600;5;28;70;ZERNINTWOTHR;x
601;37;28;73;ZERNINTWOFO;x
602;69;28;76;ZERNINTWOFIV;x
603;101;28;79;ZERNINTWOSIX;x
604;133;28;82;ZERNINTWOSEV;x
605;165;28;85;ZERNINTWOEIG;x
606;197;28;88;ZERNINTWONIN;x
607;229;28;91;ZERNINTHRZER;x
608;6;28;94;ZERNINTHRONE;x
609;38;28;97;ZERNINTHRTWO;x
610;70;28;100;ZERNINTHRTHR;x
611;102;28;103;ZERNINTHRFO;x
612;134;28;106;ZERNINTHRFIV;x
613;166;28;109;ZERNINTHRSIX;x
614;198;28;112;ZERNINTHRSEV;x
615;230;28;115;ZERNINTHREIG;x
616;7;28;118;ZERNINTHRNIN;x
617;39;28;121;ZERNINFOZER;x
618;71;28;124;ZERNINFOONE;x
619;103;28;127;ZERNINFOTWO;x
620;135;28;130;ZERNINFOTHR;x
621;167;28;133;ZERNINFOFO;x
622;199;28;136;ZERNINFOFIV;x
623;231;28;139;ZERNINFOSIX;x
624;8;28;142;ZERNINFOSEV;x
625;40;28;145;ZERNINFOEIG;x
626;72;28;148;ZERNINFONIN;x
627;104;28;151;ZERNINFIVZER;x
628;136;28;154;ZERNINFIVONE;x
629;168;28;157;ZERNINFIVTWO;x
630;200;28;160;ZERNINFIVTHR;x
631;232;28;163;ZERNINFIVFO;x
632;9;28;166;ZERNINFIVFIV;x
633;41;28;169;ZERNINFIVSIX;x
634;73;28;172;ZERNINFIVSEV;x
635;105;28;175;ZERNINFIVEIG;x
636;137;28;178;ZERNINFIVNIN;x
637;169;28;181;ZERNINSIXZER;x
638;201;28;184;ZERNINSIXONE;x
639;233;28;187;ZERNINSIXTWO;x
640;10;28;190;ZERNINSIXTHR;x
641;66;31;1;ONEZERZERZER;x
642;98;31;4;ONEZERZERONE;x
643;130;31;7;ONEZERZERTWO;x
644;162;31;10;ONEZERZERTHR;x
645;194;31;13;ONEZERZERFO;x
